school,district,school_year,enrollment,category,reason,description,date_description,year,days,cds_code,county
Public Policy Charter,Los Angeles Unified,2015-16,92,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647330131847,Los Angeles
Resolute Academy Charter,Los Angeles Unified,2015-16,98,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647330131870,Los Angeles
Libertas College Preparatory Charter,Los Angeles Unified,2015-16,89,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647330131904,Los Angeles
University Preparatory Value High,Los Angeles Unified,2015-16,111,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647330132027,Los Angeles
Alliance 6-12 College-Ready Academy #21,Los Angeles Unified,2015-16,50,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647330132084,Los Angeles
YPI Valley Public Charter High,Los Angeles Unified,2015-16,64,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647330132126,Los Angeles
USC East College Prep,Los Angeles Unified,2015-16,97,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647330132282,Los Angeles
City High,Los Angeles Unified,2015-16,61,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647330132332,Los Angeles
PUC Triumph Charter Academy and PUC Triumph Charte,Los Angeles Unified,2015-16,726,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647330133272,Los Angeles
PUC Nueva Esperanza Charter Academy,Los Angeles Unified,2015-16,423,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647330133280,Los Angeles
PUC CALS Middle and Early College High,Los Angeles Unified,2015-16,571,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647330133298,Los Angeles
William Tell Aggeler Opportunity High,Los Angeles Unified,2015-16,84,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331930064,Los Angeles
Harris Newmark Continuation,Los Angeles Unified,2015-16,145,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331930296,Los Angeles
Central High,Los Angeles Unified,2015-16,400,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331930387,Los Angeles
Whitney Young Continuation,Los Angeles Unified,2015-16,49,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331930403,Los Angeles
View Park Continuation,Los Angeles Unified,2015-16,103,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331930429,Los Angeles
Moneta Continuation,Los Angeles Unified,2015-16,54,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331930486,Los Angeles
San Antonio Continuation,Los Angeles Unified,2015-16,141,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331930551,Los Angeles
Pueblo de Los Angeles Continuation,Los Angeles Unified,2015-16,85,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331930577,Los Angeles
Harold McAlister High (Opportunity),Los Angeles Unified,2015-16,190,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331930619,Los Angeles
Phineas Banning Senior High,Los Angeles Unified,2015-16,1994,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331930650,Los Angeles
Thomas Riley High,Los Angeles Unified,2015-16,134,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331930692,Los Angeles
Angel's Gate (Continuation),Los Angeles Unified,2015-16,83,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331930734,Los Angeles
Phoenix Continuation,Los Angeles Unified,2015-16,78,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331930783,Los Angeles
Mt. Lukens Continuation,Los Angeles Unified,2015-16,62,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331930791,Los Angeles
Bell Senior High,Los Angeles Unified,2015-16,3049,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331930866,Los Angeles
Belmont Senior High,Los Angeles Unified,2015-16,960,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331930924,Los Angeles
John R. Wooden High,Los Angeles Unified,2015-16,97,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331930940,Los Angeles
Simon Rodia Continuation,Los Angeles Unified,2015-16,101,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331930973,Los Angeles
Birmingham Community Charter High,Los Angeles Unified,2015-16,3278,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331931047,Los Angeles
Westside Global Awareness Magnet,Los Angeles Unified,2015-16,377,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331931054,Los Angeles
Mid-City's Prescott School of Enriched Sciences,Los Angeles Unified,2015-16,252,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331931070,Los Angeles
Cheviot Hills Continuation,Los Angeles Unified,2015-16,76,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331931336,Los Angeles
Amelia Earhart Continuation,Los Angeles Unified,2015-16,98,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331931377,Los Angeles
Albert Einstein Continuation,Los Angeles Unified,2015-16,72,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331931385,Los Angeles
Highland Park Continuation,Los Angeles Unified,2015-16,49,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331931393,Los Angeles
Robert H. Lewis Continuation,Los Angeles Unified,2015-16,86,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331931435,Los Angeles
Jack London Continuation,Los Angeles Unified,2015-16,128,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331931450,Los Angeles
Metropolitan Continuation,Los Angeles Unified,2015-16,165,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331931468,Los Angeles
Canoga Park Senior High,Los Angeles Unified,2015-16,1434,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331931476,Los Angeles
Mission Continuation,Los Angeles Unified,2015-16,61,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331931484,Los Angeles
Owensmouth Continuation,Los Angeles Unified,2015-16,115,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331931500,Los Angeles
George S. Patton Continuation,Los Angeles Unified,2015-16,77,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331931518,Los Angeles
Carson Senior High,Los Angeles Unified,2015-16,1560,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331931526,Los Angeles
Will Rogers Continuation,Los Angeles Unified,2015-16,184,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331931534,Los Angeles
Stoney Point Continuation,Los Angeles Unified,2015-16,112,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331931559,Los Angeles
Diane S. Leichman Special Education Center,Los Angeles Unified,2015-16,166,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331931633,Los Angeles
Frank Lanterman,Los Angeles Unified,2015-16,128,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331931658,Los Angeles
Zane Grey Continuation,Los Angeles Unified,2015-16,59,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331931682,Los Angeles
Independence Continuation,Los Angeles Unified,2015-16,142,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331931690,Los Angeles
Chatsworth Charter High,Los Angeles Unified,2015-16,2068,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331931708,Los Angeles
Valley Alternative Magnet,Los Angeles Unified,2015-16,619,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331931716,Los Angeles
Whitman Continuation,Los Angeles Unified,2015-16,73,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331931856,Los Angeles
Grover Cleveland Charter High,Los Angeles Unified,2015-16,3202,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331931864,Los Angeles
Avalon High,Los Angeles Unified,2015-16,94,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331931930,Los Angeles
Ellington (Duke) High (Continuation),Los Angeles Unified,2015-16,105,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331931955,Los Angeles
John Hope Continuation,Los Angeles Unified,2015-16,74,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331931971,Los Angeles
Monterey Continuation,Los Angeles Unified,2015-16,59,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331931989,Los Angeles
Odyssey Continuation,Los Angeles Unified,2015-16,96,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331931997,Los Angeles
"Crenshaw Science, Technology, Engineering, Math an",Los Angeles Unified,2015-16,900,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331932128,Los Angeles
Henry David Thoreau Continuation,Los Angeles Unified,2015-16,73,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331932250,Los Angeles
Eagle Tree Continuation,Los Angeles Unified,2015-16,55,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331932318,Los Angeles
Jane Addams Continuation,Los Angeles Unified,2015-16,124,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331932334,Los Angeles
Evergreen Continuation,Los Angeles Unified,2015-16,67,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331932342,Los Angeles
Susan Miller Dorsey Senior High,Los Angeles Unified,2015-16,1124,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331932383,Los Angeles
West Hollywood Opportunity,Los Angeles Unified,2015-16,91,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331932391,Los Angeles
Eagle Rock High,Los Angeles Unified,2015-16,2377,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331932540,Los Angeles
El Camino Real Charter High,Los Angeles Unified,2015-16,3855,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331932623,Los Angeles
Boyle Heights Continuation,Los Angeles Unified,2015-16,77,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331932821,Los Angeles
Los Angeles Center for Enriched Studies,Los Angeles Unified,2015-16,1648,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331932847,Los Angeles
Downtown Business High,Los Angeles Unified,2015-16,1031,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331932888,Los Angeles
Arroyo Seco Museum Science,Los Angeles Unified,2015-16,529,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331932896,Los Angeles
Fairfax Senior High,Los Angeles Unified,2015-16,2047,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331932920,Los Angeles
John H. Francis Polytechnic,Los Angeles Unified,2015-16,2876,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331932987,Los Angeles
King/Drew Medical Magnet High,Los Angeles Unified,2015-16,1570,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331933001,Los Angeles
Benjamin Franklin Senior High,Los Angeles Unified,2015-16,1415,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331933043,Los Angeles
John C. Fremont Senior High,Los Angeles Unified,2015-16,2001,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331933118,Los Angeles
Sherman Oaks Center for Enriched Studies,Los Angeles Unified,2015-16,2089,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331933233,Los Angeles
Gardena Senior High,Los Angeles Unified,2015-16,1586,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331933241,Los Angeles
James A. Garfield Senior High,Los Angeles Unified,2015-16,2525,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331933381,Los Angeles
Granada Hills Charter High,Los Angeles Unified,2015-16,4480,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331933746,Los Angeles
Ulysses S. Grant Senior High,Los Angeles Unified,2015-16,1960,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331933795,Los Angeles
Alexander Hamilton Senior High,Los Angeles Unified,2015-16,2879,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331933852,Los Angeles
Hollywood Senior High,Los Angeles Unified,2015-16,1479,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331934033,Los Angeles
Huntington Park Senior High,Los Angeles Unified,2015-16,1701,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331934157,Los Angeles
Thomas Jefferson Senior High,Los Angeles Unified,2015-16,797,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331934371,Los Angeles
David Starr Jordan Senior High,Los Angeles Unified,2015-16,557,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331934454,Los Angeles
Abraham Lincoln Senior High,Los Angeles Unified,2015-16,1030,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331935121,Los Angeles
Los Angeles Senior High,Los Angeles Unified,2015-16,1380,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331935352,Los Angeles
Manual Arts Senior High,Los Angeles Unified,2015-16,1553,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331935519,Los Angeles
John Marshall Senior High,Los Angeles Unified,2015-16,2340,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331935568,Los Angeles
Joaquin Miller Career and Transition Center,Los Angeles Unified,2015-16,229,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331935717,Los Angeles
James Monroe High,Los Angeles Unified,2015-16,2342,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331935865,Los Angeles
Nathaniel Narbonne Senior High,Los Angeles Unified,2015-16,2559,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331936160,Los Angeles
North Hollywood Senior High,Los Angeles Unified,2015-16,2610,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331936350,Los Angeles
Ramona Opportunity High,Los Angeles Unified,2015-16,74,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331937085,Los Angeles
Reseda Senior High,Los Angeles Unified,2015-16,1597,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331937226,Los Angeles
Theodore Roosevelt Senior High,Los Angeles Unified,2015-16,1670,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331937424,Los Angeles
San Fernando Senior High,Los Angeles Unified,2015-16,2222,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331937622,Los Angeles
San Pedro Senior High,Los Angeles Unified,2015-16,2489,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331937838,Los Angeles
South Gate Senior High,Los Angeles Unified,2015-16,2872,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331938307,Los Angeles
Sylmar Senior High,Los Angeles Unified,2015-16,1988,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331938554,Los Angeles
Taft Charter High,Los Angeles Unified,2015-16,2441,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331938612,Los Angeles
University Senior High,Los Angeles Unified,2015-16,1671,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331938885,Los Angeles
Van Nuys Senior High,Los Angeles Unified,2015-16,2594,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331938968,Los Angeles
Venice Senior High,Los Angeles Unified,2015-16,2005,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331939040,Los Angeles
Verdugo Hills Senior High,Los Angeles Unified,2015-16,1418,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331939107,Los Angeles
George Washington Preparatory High,Los Angeles Unified,2015-16,957,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331939305,Los Angeles
WESM Health/Sports Medicine,Los Angeles Unified,2015-16,1121,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331939479,Los Angeles
Joseph Pomeroy Widney High,Los Angeles Unified,2015-16,230,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331939784,Los Angeles
Woodrow Wilson Senior High,Los Angeles Unified,2015-16,1543,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331939859,Los Angeles
John F. Kennedy High,Los Angeles Unified,2015-16,2099,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331939941,Los Angeles
Francisco Bravo Medical Magnet High,Los Angeles Unified,2015-16,1847,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331995448,Los Angeles
Los Angeles Unified Alternative Education,Los Angeles Unified,2015-16,1156,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331995489,Los Angeles
Youth Opportunities Unlimited,Los Angeles Unified,2015-16,264,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331995794,Los Angeles
Palisades Charter High,Los Angeles Unified,2015-16,2970,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331995836,Los Angeles
Tri-C Community Day,Los Angeles Unified,2015-16,167,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331996073,Los Angeles
City of Angels,Los Angeles Unified,2015-16,1588,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331996115,Los Angeles
Los Angeles Leadership Academy,Los Angeles Unified,2015-16,538,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331996610,Los Angeles
CDS Secondary,Los Angeles Unified,2015-16,72,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647331996651,Los Angeles
Albion Street Elementary,Los Angeles Unified,2015-16,262,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647336015705,Los Angeles
Aldama Elementary,Los Angeles Unified,2015-16,564,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647336015713,Los Angeles
Alexandria Avenue Elementary,Los Angeles Unified,2015-16,753,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647336015721,Los Angeles
Allesandro Elementary,Los Angeles Unified,2015-16,440,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647336015739,Los Angeles
Alta Loma Elementary,Los Angeles Unified,2015-16,593,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647336015747,Los Angeles
Ambler Avenue Elementary,Los Angeles Unified,2015-16,504,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647336015754,Los Angeles
Amestoy Elementary,Los Angeles Unified,2015-16,802,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647336015762,Los Angeles
Anatola Avenue Elementary,Los Angeles Unified,2015-16,474,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647336015770,Los Angeles
Andasol Avenue Elementary,Los Angeles Unified,2015-16,441,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647336015796,Los Angeles
Angeles Mesa Elementary,Los Angeles Unified,2015-16,412,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647336015804,Los Angeles
Ann Street Elementary,Los Angeles Unified,2015-16,107,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647336015812,Los Angeles
Annalee Avenue Elementary,Los Angeles Unified,2015-16,229,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647336015820,Los Angeles
